Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1967","1967","tonnes","24785"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1968","1968","tonnes","26070"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1969","1969","tonnes","28864"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1970","1970","tonnes","30850"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1971","1971","tonnes","29961"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1972","1972","tonnes","30698"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1973","1973","tonnes","22265"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1974","1974","tonnes","27340"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1975","1975","tonnes","34192"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1976","1976","tonnes","42348"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1977","1977","tonnes","46125"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1978","1978","tonnes","51758"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1979","1979","tonnes","69099"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1980","1980","tonnes","83038"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1981","1981","tonnes","109503"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1982","1982","tonnes","190993"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1983","1983","tonnes","153540"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1984","1984","tonnes","255773"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1985","1985","tonnes","288649"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1986","1986","tonnes","355803"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1987","1987","tonnes","333275"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1988","1988","tonnes","432937"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1989","1989","tonnes","477280"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1990","1990","tonnes","543515"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1991","1991","tonnes","526904"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1992","1992","tonnes","599841"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1993","1993","tonnes","698765"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1994","1994","tonnes","699935"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1995","1995","tonnes","686373"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1996","1996","tonnes","700777"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1997","1997","tonnes","793585"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1998","1998","tonnes","791437"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1999","1999","tonnes","937715"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2000","2000","tonnes","1153269"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2001","2001","tonnes","716030"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2002","2002","tonnes","857388"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2003","2003","tonnes","841821"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2004","2004","tonnes","980203"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2005","2005","tonnes","850535"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2006","2006","tonnes","863019"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2007","2007","tonnes","1115379"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2008","2008","tonnes","1124155"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2009","2009","tonnes","1222885"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2010","2010","tonnes","1279124"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2011","2011","tonnes","1338995"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2012","2012","tonnes","1339771"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2013","2013","tonnes","1231472"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2014","2014","tonnes","1378617"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2015","2015","tonnes","1264651"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2016","2016","tonnes","1055383"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2017","2017","tonnes","1307642"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2018","2018","tonnes","1203007"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2019","2019","tonnes","1222949"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","2020","2020","tonnes","983247"
